,,,文学,报刊,多领域,微博,学术,古汉语,篇章检索,HSK,BCC,总数（无微博）
漢皇重色思傾國，,,汉皇重色思倾国，,0,1,11,10,15,18,5,0,60,50
御宇多年求不得。,,御宇多年求不得。,0,0,6,7,5,17,0,0,35,28
楊家有女初長成，,,杨家有女初长成，,0,0,29,12,5,32,22,0,100,88
養在深閨人未識。,,养在深闺人未识。,0,162,149,73,130,26,136,0,676,603
天生麗質難自棄，,,天生丽质难自弃，,2,4,86,107,8,28,39,0,274,167
一朝選在君王側。,,一朝选在君王侧。,0,0,8,12,4,31,4,0,59,47
回眸一笑百媚生，,,回眸一笑百媚生，,1,15,165,247,31,33,36,0,528,281
六宮粉黛無顏色。,,六宫粉黛无颜色。,0,4,54,1052,23,51,19,0,1203,151
春寒賜浴華清池，,,春寒赐浴华清池，,0,5,23,15,6,25,10,0,84,69
溫泉水滑洗凝脂。,,温泉水滑洗凝脂。,0,11,49,25,11,23,24,0,143,118
侍兒扶起嬌無力， ,,侍儿扶起娇无力，,0,1,13,8,6,28,7,0,63,55
始是新承恩澤時。,,始是新承恩泽时。,0,0,7,6,2,27,4,0,46,40
雲鬢花顏金步搖，,,云鬓花颜金步摇，,0,1,8,7,7,12,0,0,35,28
芙蓉帳暖度春宵。,,芙蓉帐暖度春宵。,0,0,37,12,2,32,5,0,88,76
春宵苦短日高起，,,春宵苦短日高起，,0,1,11,17,8,19,1,0,57,40
從此君王不早朝。,,从此君王不早朝。,0,0,37,39,12,26,9,0,123,84
承歡侍宴無閒暇，,,承欢侍宴无闲暇，,0,1,2,0,2,10,0,0,15,15
春從春遊夜專夜。,,春从春游夜专夜。,0,1,2,0,1,13,1,0,18,18
後宮佳麗三千人，,,后宫佳丽三千人，,0,4,24,23,7,25,9,0,92,69
三千寵愛在一身。,,三千宠爱在一身。,1,7,29,13,14,34,23,0,121,108
金屋妝成嬌侍夜，,,金屋妆成娇侍夜，,0,0,0,0,0,17,0,0,17,17
玉樓宴罷醉和春。,,玉楼宴罢醉和春。,0,0,1,1,0,25,0,0,27,26
姊妹弟兄皆列土，,,姊妹弟兄皆列土，,0,0,2,0,5,13,0,0,20,20
可憐光彩生門戶。,,可怜光彩生门户。,0,0,6,0,2,18,2,0,28,28
遂令天下父母心，,,遂令天下父母心，,0,0,8,1,8,32,3,0,52,51
不重生男重生女。,,不重生男重生女。,0,0,15,1,15,45,10,0,86,85
驪宮高處入青雲，,,骊宫高处入青云，,0,1,1,0,1,10,0,0,13,13
仙樂風飄處處聞。,,仙乐风飘处处闻。,0,1,3,0,7,19,1,0,31,31
緩歌慢舞凝絲竹，,,缓歌慢舞凝丝竹，,0,0,2,0,5,18,0,0,25,25
盡日君王看不足。,,尽日君王看不足。,0,0,1,0,3,15,0,0,19,19
漁陽鼙鼓動地來，,,渔阳鼙鼓动地来，,0,8,1,3,7,36,0,0,55,52
驚破霓裳羽衣曲。,,惊破霓裳羽衣曲，,0,4,3,1,6,43,1,0,58,57
九重城闕煙塵生，,,九重城阙烟尘生，,0,0,1,0,1,19,0,0,21,21
千乘萬騎西南行。,,千乘万骑西南行。,0,0,1,0,5,13,0,0,19,19
翠華搖搖行復止，,,翠华摇摇行复止，,0,0,1,0,1,12,0,0,14,14
西出都門百餘里。 ,,西出都门百余里。,0,0,1,0,0,17,0,0,18,18
六軍不發無奈何，,,六军不发无奈何，,0,1,5,0,9,32,4,0,51,51
宛轉蛾眉馬前死。,,宛转蛾眉马前死。,0,2,2,0,9,38,0,0,51,51
花鈿委地無人收，,,花钿委地无人收，,0,2,0,0,1,21,0,0,24,24
翠翹金雀玉搔頭。,,翠翘金雀玉搔头。,0,0,1,1,1,20,0,0,23,22
君王掩面救不得，,,君王掩面救不得，,0,0,4,0,7,23,0,0,34,34
回看血淚相和流。,,回看血泪相和流。,0,0,6,0,7,6,2,0,21,21
黃埃散漫風蕭索，,,黄埃散漫风萧索，,0,0,2,0,3,18,0,0,23,23
雲棧縈紆登劍閣。,,云栈萦纡登剑阁。,0,0,3,0,0,7,0,0,10,10
峨嵋山下少人行，,,峨嵋山下少人行，,0,0,1,0,0,16,0,0,17,17
旌旗無光日色薄。,,旌旗无光日色薄。,0,0,2,0,0,31,0,0,33,33
蜀江水碧蜀山青，,,蜀江水碧蜀山青，,0,4,4,0,4,17,2,0,31,31
聖主朝朝暮暮情。,,圣主朝朝暮暮情。,0,0,2,0,5,15,0,0,22,22
行宮見月傷心色，,,行宫见月伤心色，,0,1,5,0,8,19,3,0,36,36
夜雨聞鈴腸斷聲。,,夜雨闻铃肠断声。,4,1,4,0,7,16,2,0,34,34
天旋地轉回龍馭， ,,天旋地转回龙驭，,0,0,1,0,0,1,0,0,2,2
到此躊躇不能去。,,到此踌躇不能去。,0,0,1,0,2,2,18,0,23,23
馬嵬坡下泥土中，,,马嵬坡下泥土中，,0,0,1,0,0,14,0,0,15,15
不見玉顏空死處。,,不见玉颜空死处。,0,0,3,0,1,14,0,0,18,18
君臣相顧盡沾衣，,,君臣相顾尽沾衣，,0,0,2,0,2,16,0,0,20,20
東望都門信馬歸。,,东望都门信马归。,0,0,1,0,3,19,0,0,23,23
歸來池苑皆依舊，,,归来池苑皆依旧，,0,0,2,1,1,20,1,0,25,24
